eventnum,well,X531.40..488.,X572.27..488.,X692.40..488.,Trigger.Pulse.Width,SSC,FSC,estimated_diameter
183763,E02,73.4251304131718,12.4758267728411,78.130799001053,18092,6.75634649611685,2.70666235084205,0.26
186031,E03,130.295434723453,17.2462364441036,84.1371492271623,21192,7.74965245890416,2.03513746817369,0.24
188794,E04,86.3412360599812,17.1664374651738,15.7317611394309,18643,8.78961244798047,3.65636309168024,0.3
190555,E05,28.2917724398974,2.5705980850903,10.8188148258452,15988,8.29396516603849,1.02561963856461,0.18
193119,E06,185.017119008596,27.1657059906461,32.9660115347108,23416,4.67651008232578,2.80148108991731,0.27
195582,E07,17.8178169195139,5.85322231346171,20.2145492848716,11991,35.0688783062095,16.0736949766182,0.53
198032,E08,20.1634772553468,3.03598628063236,18.3051478995408,12585,5.08009205430952,8.7945549578285,0.42
200913,E09,71.5306526349095,10.0126564802567,52.7285584685802,19306,11.6685422097337,1.92659327085478,0.23
203813,E10,185.616133863921,23.4683954948548,46.6862996450459,23294,15.5187570285557,18.856090770673,0.56
206333,E11,25.7529886664848,5.62341325190349,17.5988138839155,14358,9.66018295344703,1.41898413245798,0.21
208864,E13,65.1575646709745,8.56764233481294,18.1923036100041,17081,13.5906349121895,2.35410685450184,0.25
210678,E14,193.854365677272,28.9514234766229,109.519069707064,39631,4.96504114206992,4.05082932522202,0.31
213049,E15,25.0673766586313,5.72548788435838,15.6106292763424,13458,6.32626617813074,1.02605214730483,0.18
215562,E16,84.160801592286,12.1249288614426,46.0412358610683,18467,4.40970137143034,2.49899917804598,0.26
218569,E17,24.3691746403398,4.11278249298532,25.6590588403031,12962,5.46601599775827,1.18636615905033,0.19
221579,E18,156.964261564839,22.2135849150628,56.7422104279643,22052,7.09798788757094,2.12935008962552,0.24
223683,E19,173.873891801521,20.2999569630448,21.789980216226,23004,5.94190605742317,8.40307958163417,0.41
227047,E20,94.2549569101834,12.9274012948366,31.4897306089334,19584,9.53474498665489,3.03555963722725,0.28
